E=35 keV
  Dst > -20 nT
        8,           0,        1196,        2873,        3423,        3081,        3234,        2671,        2123,        2424,        2744,        2794,        2596,        2093,        1987,        2081,        1796,        2171,        2461,        2993,        4254,        5828,        7084,        8755,       12463,       17662,        6445
       10,           0,        1276,        2900,        2713,        2410,        3242,        3255,        2729,        3264,        3450,        3071,        2759,        2141,        2077,        2051,        1587,        1963,        2475,        3081,        4228,        5649,        6806,        8965,       14300,       20314,         746
       12,           0,        1121,        2661,        2769,        2352,        2984,        2714,        2202,        2462,        2590,        2472,        2357,        1937,        1923,        1975,        1724,        2191,        2648,        3287,        4652,        6077,        7561,       10048,       15920,       21824,         251
       14,           0,        1091,        2273,        2515,        2334,        2423,        2081,        1758,        1986,        2271,        2061,        1965,        1617,        1827,        1878,        1718,        2132,        2534,        3077,        4595,        6385,        7807,       10079,       16495,       20229,         520
       16,           0,         992,        2970,        2714,        1731,        2135,        2166,        2025,        2239,        2346,        2089,        2086,        1621,        1708,        1759,        1387,        1666,        2034,        2522,        3620,        4968,        6064,        7712,       11722,       16774,        4030
       18,           0,         947,        2056,        2570,        2537,        2895,        2435,        1811,        2162,        2240,        1998,        2299,        2067,        2239,        2242,        2087,        2319,        2527,        2778,        3369,        4043,        4535,        5192,        6517,       10371,        8679
       20,           0,         888,        2517,        2562,        2072,        3007,        2985,        2582,        2772,        2892,        2534,        2256,        1528,        1494,        1517,        1457,        1714,        1884,        2060,        2566,        3032,        3378,        4124,        5148,        7193,       11534
       22,           0,         926,        2427,        2713,        2380,        2696,        2417,        2040,        2310,        2484,        2119,        2067,        1629,        1770,        1882,        1752,        2081,        2269,        2497,        3064,        3887,        4276,        4627,        4949,        5699,        7718
  -50 nT < Dst < -20 nT
    MLT\L,        1.00,        1.20,        1.40,        1.60,        1.80,        2.00,        2.20,        2.40,        2.60,        2.80,        3.00,        3.20,        3.40,        3.60,        3.80,        4.00,        4.20,        4.40,        4.60,        4.80,        5.00,        5.20,        5.40,        5.60,        5.80,        6.00
        0,           0,          98,         320,         445,         369,         397,         344,         282,         343,         380,         340,         348,         332,         365,         372,         339,         330,         335,         348,         517,         663,         737,         762,         806,         953,        1290
